id,sentence,num_aspect_terms,aspect_term,at_polarity,intensty_class
33085669#409731#13,You will be very happy with the experience.,0,[],[],
11351354#412616#0,"The food is surprisingly good, and the decor is nice.",2,"['food', 'decor']","['positive', 'positive']","[1, 1]"
35714274#1076679#0,How pretentious and inappropriate for MJ Grill to claim that it provides power lunch and dinners!,2,"['lunch', 'dinners']","['negative', 'negative']","[-2, -2]"
35714274#1076679#5,Two wasted steaks -- what a crime!,1,['steaks'],['negative'],[-2]
35720486#684689#4,The staff should be a bit more friendly.,1,['staff'],['negative'],[-1]
33507331#1177339#2,I absolutely suggest this place.,0,[],[],
33064346#1483297#0,I think the meatball parm is good.,1,['meatball parm'],['positive'],[1]
11417054#1062693#2,"If you want good tasting, well seasoned latin food eat at Cabana and you can't go wrong.",1,['latin food'],['positive'],[2]
13383936#420974#4,Definitely try the taglierini with truffles - it was incredible.,1,['taglierini with truffles'],['positive'],[2]
13383936#420974#5,"Also, the staff is very attentive and really personable.",1,['staff'],['positive'],[3]
13383936#420974#6,"Overall, this is a great new restaurant that has been consistently good every time I have been.",0,[],[],
36244423#1058258#2,The gnocchi literally melts in your mouth!,1,['gnocchi'],['positive'],[1]
11559272#409013#0,Had a great experience at Trio ... staff was pleasant; food was tasty and large in portion size - I would highly recommend the portobello/gorgonzola/sausage appetizer and the lobster risotto.,5,"['staff', 'food', 'portion size', 'portobello/gorgonzola/sausage appetizer', 'lobster risotto']","['positive', 'positive', 'positive', 'positive', 'positive']","[1, 1, 1, 3, 3]"
36244784#0#3,"Entrees include classics like lasagna, fettuccine Alfredo and chicken parmigiana.",4,"['Entrees', 'lasagna', 'fettuccine Alfredo', 'chicken parmigiana']","['neutral', 'neutral', 'neutral', 'neutral']","[0, 0, 0, 0]"
32938222#1552119#2,"The food is good, the teriyaki I recommend.",2,"['food', 'teriyaki']","['positive', 'positive']","[1, 1]"
11546184#1465600#0,Meal was very expensive for what you get.,1,['Meal'],['negative'],[-2]
32895093#418997#3,Try the Peanut Butter Sorbet and the pizza with soy cheese!,2,"['Peanut Butter Sorbet', 'pizza with soy cheese']","['positive', 'positive']","[1, 1]"
32406302#615620#2,"Good food at the right price, what more can you ask for.",2,"['food', 'price']","['positive', 'positive']","[1, 1]"
35390182#756337#1,"We love it, and took buses and cabs to get there.",0,[],[],
11302356#1455624#2,"If you' re in New York, you do not want to miss this place.",0,[],[],
11302356#1455624#1,"The food is top notch, the service is attentive, and the atmosphere is great.",3,"['food', 'service', 'atmosphere']","['positive', 'positive', 'positive']","[3, 1, 2]"
11302356#1455624#0,"I've been coming here on and off for the past five years and I have to say that La Lanterna has never, ever dissapointed me.",0,[],[],
11302355#533813#0,"Great food, great waitstaff, great atmosphere, and best of all GREAT beer!",4,"['food', 'waitstaff', 'atmosphere', 'beer']","['positive', 'positive', 'positive', 'positive']","[2, 2, 2, 3]"
