id,sentence,num_aspect_terms,aspect_term,at_polarity,intensty_class
32897564#894393#2,The bread is top notch as well.,1,['bread'],['positive'],[3]
33070600#670328#0,I have to say they have one of the fastest delivery times in the city.,1,['delivery times'],['positive'],[3]
32894246#870052#1,"I trust the people at Go Sushi, it never disappoints.",1,['people'],['positive'],[3]
32894246#870052#2,"Straight-forward, no surprises, very decent Japanese food.",1,['Japanese food'],['positive'],[2]
35390182#756337#4,"BEST spicy tuna roll, great asian salad.",2,"['asian salad', 'spicy tuna roll']","['positive', 'positive']","[2, 3]"
35390182#756337#5,Try the rose roll (not on menu).,2,"['rose roll', 'menu']","['positive', 'neutral']","[1, 0]"
11447227#436718#3,"I love the drinks, esp lychee martini, and the food is also VERY good.",3,"['drinks', 'lychee martini', 'food']","['positive', 'positive', 'positive']","[2, 2, 2]"
33071731#1007204#3,"In fact, this was not a Nicoise salad and was barely eatable.",1,['Nicoise salad'],['negative'],[-1]
33085939#758010#0,"While there's a decent menu, it shouldn't take ten minutes to get your drinks and 45 for a dessert pizza.",3,"['menu', 'drinks', 'dessert pizza']","['positive', 'neutral', 'neutral']","[1, 0, 0]"
11313431#524365#3,"Once we sailed, the top-notch food and live entertainment sold us on an unforgettable evening.",2,"['food', 'live entertainment']","['positive', 'positive']","[2, 2]"
11359717#1138929#1,Our waiter was horrible; so rude and disinterested.,1,['waiter'],['negative'],[-3]
11359717#1138929#3,The sangria's - watered down.,1,['sangria'],['negative'],[-1]
11359717#1138929#4,"menu - uneventful, small.",1,['menu'],['negative'],[-2]
11313439#692431#0,Anytime and everytime I find myself in the neighborhood I will go to Sushi Rose for fresh sushi and great portions all at a reasonable price.,3,"['sushi', 'portions', 'price']","['positive', 'positive', 'positive']","[2, 2, 1]"
11351513#832512#0,Great food but the service was dreadful!,2,"['food', 'service']","['positive', 'negative']","[2, -3]"
35390148#588852#2,The portions of the food that came out were mediocre.,1,['portions of the food'],['neutral'],[0]
11351513#832512#1,the two waitress's looked like they had been sucking on lemons.,1,['waitress's'],['negative'],[-2]
11313431#524365#2,"From the beginning, we were met by friendly staff memebers, and the convienent parking at Chelsea Piers made it easy for us to get to the boat.",2,"['staff members', 'parking']","['positive', 'positive']","[1, 1]"
35196520#758440#4,We enjoyed ourselves thoroughly and will be going back for the desserts ....,1,['desserts'],['positive'],[2]
35196527#481646#2,Desserts are almost incredible: my personal favorite is their Tart of the Day.,2,"['Desserts', 'Tart of the Day']","['positive', 'positive']","[2, 3]"
35668126#536759#0,I am surprised at the lower reviews because it is definitely better than other places I have tried with higher ratings.,0,[],[],
35668126#536759#1,Maybe the secret was that we went on a Sunday night and everything was great.,0,[],[],
35668126#536759#2,"The food was extremely tasty, creatively presented and the wine excellent.",2,"['food', 'wine']","['positive', 'positive']","[3, 3]"
33070286#1133164#0,WE ENDED UP IN LITTLE ITALY IN LATE AFTERNOON.,0,[],[],
33070286#1133164#4,WE WERE PLEASANTLY SURPRISED WITH OUR CHOICE.,0,[],[],
33070286#1133164#6,THE LASAGNA WAS PROBABLY THE BEST I HAVE TASTED.,1,['LASAGNA'],['positive'],[3]
32894336#662479#0,Harumi Sushi has the freshest and most delicious array of sushi in NYC.,1,['array of sushi'],['positive'],[3]
32894336#662479#1,"I highly recommend it for not just its superb cuisine, but also for its friendly owners and staff.",3,"['cuisine', 'owners', 'staff']","['positive', 'positive', 'positive']","[3, 2, 2]"
32892130#435512#0,"If you're craving some serious indian food and desire a cozy ambiance, this is quite and exquisite choice.",2,"['indian food', 'ambiance']","['positive', 'positive']","[2, 1]"
32892130#435512#4,I definitely enjoyed the food as well.,1,['food'],['positive'],[2]
32894791#1611374#0,have always had a great time here.,0,[],[],
11432316#715219#2,"It was pleasantly uncrowded, the service was delightful, the garden adorable, the food (from appetizers to entrees) was delectable.",5,"['service', 'garden', 'food', 'appetizers', 'entrees']","['positive', 'positive', 'positive', 'positive', 'positive']","[1, 2, 2, 1, 1]"
33085669#409731#13,You will be very happy with the experience.,0,[],[],
11351354#412616#0,"The food is surprisingly good, and the decor is nice.",2,"['food', 'decor']","['positive', 'positive']","[1, 1]"
35714274#1076679#0,How pretentious and inappropriate for MJ Grill to claim that it provides power lunch and dinners!,2,"['lunch', 'dinners']","['negative', 'negative']","[-2, -2]"
35714274#1076679#5,Two wasted steaks -- what a crime!,1,['steaks'],['negative'],[-2]
35720486#684689#4,The staff should be a bit more friendly.,1,['staff'],['negative'],[-1]
33507331#1177339#2,I absolutely suggest this place.,0,[],[],
33064346#1483297#0,I think the meatball parm is good.,1,['meatball parm'],['positive'],[1]
11417054#1062693#2,"If you want good tasting, well seasoned latin food eat at Cabana and you can't go wrong.",1,['latin food'],['positive'],[2]
13383936#420974#4,Definitely try the taglierini with truffles - it was incredible.,1,['taglierini with truffles'],['positive'],[2]
13383936#420974#5,"Also, the staff is very attentive and really personable.",1,['staff'],['positive'],[3]
13383936#420974#6,"Overall, this is a great new restaurant that has been consistently good every time I have been.",0,[],[],
36244423#1058258#2,The gnocchi literally melts in your mouth!,1,['gnocchi'],['positive'],[1]
11559272#409013#0,Had a great experience at Trio ... staff was pleasant; food was tasty and large in portion size - I would highly recommend the portobello/gorgonzola/sausage appetizer and the lobster risotto.,5,"['staff', 'food', 'portion size', 'portobello/gorgonzola/sausage appetizer', 'lobster risotto']","['positive', 'positive', 'positive', 'positive', 'positive']","[1, 1, 1, 3, 3]"
36244784#0#3,"Entrees include classics like lasagna, fettuccine Alfredo and chicken parmigiana.",4,"['Entrees', 'lasagna', 'fettuccine Alfredo', 'chicken parmigiana']","['neutral', 'neutral', 'neutral', 'neutral']","[0, 0, 0, 0]"
32938222#1552119#2,"The food is good, the teriyaki I recommend.",2,"['food', 'teriyaki']","['positive', 'positive']","[1, 1]"
11546184#1465600#0,Meal was very expensive for what you get.,1,['Meal'],['negative'],[-2]
